Year,SERIES,UNIT_MEASURE,Type of product,Value
2008,Domestic material consumption,TONNES,Coal,11075000.0
2009,Domestic material consumption,TONNES,Coal,11728000.0
2010,Domestic material consumption,TONNES,Coal,11368000.0
2011,Domestic material consumption,TONNES,Coal,13132000.0
2012,Domestic material consumption,TONNES,Coal,12561000.0
2013,Domestic material consumption,TONNES,Coal,12315000.0
2014,Domestic material consumption,TONNES,Coal,12303000.0
2015,Domestic material consumption,TONNES,Coal,13704000.0
2016,Domestic material consumption,TONNES,Coal,14134591.0
2017,Domestic material consumption,TONNES,Coal,14565182.0
2000,Domestic material consumption,TONNES,Crop residues,1274913.0
2001,Domestic material consumption,TONNES,Crop residues,1631232.0
2002,Domestic material consumption,TONNES,Crop residues,1869727.0
2003,Domestic material consumption,TONNES,Crop residues,1150939.0
2004,Domestic material consumption,TONNES,Crop residues,2055582.0
2005,Domestic material consumption,TONNES,Crop residues,1967457.0
2006,Domestic material consumption,TONNES,Crop residues,1946952.0
2007,Domestic material consumption,TONNES,Crop residues,1441252.0
2008,Domestic material consumption,TONNES,Crop residues,1982034.0
2009,Domestic material consumption,TONNES,Crop residues,1983541.0
2010,Domestic material consumption,TONNES,Crop residues,1617069.0
2011,Domestic material consumption,TONNES,Crop residues,1613679.0
2012,Domestic material consumption,TONNES,Crop residues,1276287.0
2013,Domestic material consumption,TONNES,Crop residues,1734085.0
2014,Domestic material consumption,TONNES,Crop residues,1558809.0
2015,Domestic material consumption,TONNES,Crop residues,1559670.0
2016,Domestic material consumption,TONNES,Crop residues,1560531.0
2017,Domestic material consumption,TONNES,Crop residues,1561392.0
2000,Domestic material consumption,TONNES,Crops,2947535.0
2001,Domestic material consumption,TONNES,Crops,3621751.0
2002,Domestic material consumption,TONNES,Crops,3436185.0
2003,Domestic material consumption,TONNES,Crops,2659906.0
2004,Domestic material consumption,TONNES,Crops,4408017.0
2005,Domestic material consumption,TONNES,Crops,4300520.0
2006,Domestic material consumption,TONNES,Crops,4153998.0
2007,Domestic material consumption,TONNES,Crops,3773949.0
2008,Domestic material consumption,TONNES,Crops,4231476.0
2009,Domestic material consumption,TONNES,Crops,4129768.0
2010,Domestic material consumption,TONNES,Crops,3817818.0
2011,Domestic material consumption,TONNES,Crops,3811119.0
2012,Domestic material consumption,TONNES,Crops,3355493.0
2013,Domestic material consumption,TONNES,Crops,4007620.0
2014,Domestic material consumption,TONNES,Crops,3848757.0
2015,Domestic material consumption,TONNES,Crops,3900797.0
2016,Domestic material consumption,TONNES,Crops,3953837.0
2017,Domestic material consumption,TONNES,Crops,4006877.0
2000,Domestic material consumption,TONNES,Ferrous ores,363000.0
2001,Domestic material consumption,TONNES,Ferrous ores,264000.0
2002,Domestic material consumption,TONNES,Ferrous ores,212000.0
2003,Domestic material consumption,TONNES,Ferrous ores,271762.0
2004,Domestic material consumption,TONNES,Ferrous ores,367790.0
2005,Domestic material consumption,TONNES,Ferrous ores,1930316.0
2006,Domestic material consumption,TONNES,Ferrous ores,2067141.0
2007,Domestic material consumption,TONNES,Ferrous ores,2001352.0
2008,Domestic material consumption,TONNES,Ferrous ores,2410638.0
2009,Domestic material consumption,TONNES,Ferrous ores,2333265.0
2010,Domestic material consumption,TONNES,Ferrous ores,841223.0
2011,Domestic material consumption,TONNES,Ferrous ores,1066128.0
2012,Domestic material consumption,TONNES,Ferrous ores,955854.0
2013,Domestic material consumption,TONNES,Ferrous ores,1309470.0
2014,Domestic material consumption,TONNES,Ferrous ores,1389676.0
2015,Domestic material consumption,TONNES,Ferrous ores,1489794.0
2016,Domestic material consumption,TONNES,Ferrous ores,1589912.0
2017,Domestic material consumption,TONNES,Ferrous ores,1690030.0
2000,Domestic material consumption,TONNES,Fossil fuels,8696585.0
2001,Domestic material consumption,TONNES,Fossil fuels,8729640.0
2002,Domestic material consumption,TONNES,Fossil fuels,8966593.0
2003,Domestic material consumption,TONNES,Fossil fuels,9578052.0
2004,Domestic material consumption,TONNES,Fossil fuels,9940564.0
2005,Domestic material consumption,TONNES,Fossil fuels,10357386.0
2006,Domestic material consumption,TONNES,Fossil fuels,11289840.0
2007,Domestic material consumption,TONNES,Fossil fuels,11172316.0
2008,Domestic material consumption,TONNES,Fossil fuels,12831129.0
2009,Domestic material consumption,TONNES,Fossil fuels,13527645.0
2010,Domestic material consumption,TONNES,Fossil fuels,13208622.0
2011,Domestic material consumption,TONNES,Fossil fuels,15040166.0
2012,Domestic material consumption,TONNES,Fossil fuels,14272837.0
2013,Domestic material consumption,TONNES,Fossil fuels,13943173.0
2014,Domestic material consumption,TONNES,Fossil fuels,13817450.0
2015,Domestic material consumption,TONNES,Fossil fuels,15292774.0
2016,Domestic material consumption,TONNES,Fossil fuels,15764357.0
2017,Domestic material consumption,TONNES,Fossil fuels,16235940.0
2000,Domestic material consumption,TONNES,Natural gas,170585.0
2001,Domestic material consumption,TONNES,Natural gas,111640.0
2002,Domestic material consumption,TONNES,Natural gas,105593.0
2003,Domestic material consumption,TONNES,Natural gas,138052.0
2004,Domestic material consumption,TONNES,Natural gas,217564.0
2005,Domestic material consumption,TONNES,Natural gas,258386.0
2006,Domestic material consumption,TONNES,Natural gas,271840.0
2007,Domestic material consumption,TONNES,Natural gas,287316.0
2008,Domestic material consumption,TONNES,Natural gas,285129.0
2009,Domestic material consumption,TONNES,Natural gas,162645.0
2010,Domestic material consumption,TONNES,Natural gas,170622.0
2011,Domestic material consumption,TONNES,Natural gas,194166.0
2012,Domestic material consumption,TONNES,Natural gas,178837.0
2013,Domestic material consumption,TONNES,Natural gas,139173.0
2014,Domestic material consumption,TONNES,Natural gas,129450.0
2015,Domestic material consumption,TONNES,Natural gas,162167.0
2016,Domestic material consumption,TONNES,Natural gas,161552.0
2017,Domestic material consumption,TONNES,Natural gas,160936.0
2000,Domestic material consumption,TONNES,Grazed biomass and fodder crops,215988.0
2001,Domestic material consumption,TONNES,Grazed biomass and fodder crops,64934.0
2002,Domestic material consumption,TONNES,Grazed biomass and fodder crops,10345.0
2003,Domestic material consumption,TONNES,Grazed biomass and fodder crops,11871.0
2004,Domestic material consumption,TONNES,Grazed biomass and fodder crops,15555.0
2005,Domestic material consumption,TONNES,Grazed biomass and fodder crops,121154.0
2006,Domestic material consumption,TONNES,Grazed biomass and fodder crops,372387.0
2007,Domestic material consumption,TONNES,Grazed biomass and fodder crops,762407.0
2008,Domestic material consumption,TONNES,Grazed biomass and fodder crops,639254.0
2009,Domestic material consumption,TONNES,Grazed biomass and fodder crops,651569.0
2010,Domestic material consumption,TONNES,Grazed biomass and fodder crops,926011.0
2011,Domestic material consumption,TONNES,Grazed biomass and fodder crops,863410.0
2012,Domestic material consumption,TONNES,Grazed biomass and fodder crops,741105.0
2013,Domestic material consumption,TONNES,Grazed biomass and fodder crops,746135.0
2014,Domestic material consumption,TONNES,Grazed biomass and fodder crops,742237.0
2015,Domestic material consumption,TONNES,Grazed biomass and fodder crops,809734.0
2016,Domestic material consumption,TONNES,Grazed biomass and fodder crops,877230.0
2017,Domestic material consumption,TONNES,Grazed biomass and fodder crops,944726.0
2000,Domestic material consumption,TONNES,Metal ores,617700.0
2001,Domestic material consumption,TONNES,Metal ores,354000.0
2002,Domestic material consumption,TONNES,Metal ores,283300.0
2003,Domestic material consumption,TONNES,Metal ores,906482.0
2004,Domestic material consumption,TONNES,Metal ores,1042616.0
2005,Domestic material consumption,TONNES,Metal ores,2887739.0
2006,Domestic material consumption,TONNES,Metal ores,2776722.0
2007,Domestic material consumption,TONNES,Metal ores,2638404.0
2008,Domestic material consumption,TONNES,Metal ores,3304467.0
2009,Domestic material consumption,TONNES,Metal ores,2804338.0
2010,Domestic material consumption,TONNES,Metal ores,1721511.0
2011,Domestic material consumption,TONNES,Metal ores,1938285.0
2012,Domestic material consumption,TONNES,Metal ores,1860499.0
2013,Domestic material consumption,TONNES,Metal ores,2196611.0
2014,Domestic material consumption,TONNES,Metal ores,2161488.0
2015,Domestic material consumption,TONNES,Metal ores,2301911.0
2016,Domestic material consumption,TONNES,Metal ores,2442334.0
2017,Domestic material consumption,TONNES,Metal ores,2582757.0
2000,Domestic material consumption,TONNES,Non-ferrous ores,254700.0
2001,Domestic material consumption,TONNES,Non-ferrous ores,90000.0
2002,Domestic material consumption,TONNES,Non-ferrous ores,71300.0
2003,Domestic material consumption,TONNES,Non-ferrous ores,634719.0
2004,Domestic material consumption,TONNES,Non-ferrous ores,674826.0
2005,Domestic material consumption,TONNES,Non-ferrous ores,957423.0
2006,Domestic material consumption,TONNES,Non-ferrous ores,709581.0
2007,Domestic material consumption,TONNES,Non-ferrous ores,637052.0
2008,Domestic material consumption,TONNES,Non-ferrous ores,893829.0
2009,Domestic material consumption,TONNES,Non-ferrous ores,471073.0
2010,Domestic material consumption,TONNES,Non-ferrous ores,880288.0
2011,Domestic material consumption,TONNES,Non-ferrous ores,872157.0
2012,Domestic material consumption,TONNES,Non-ferrous ores,904645.0
2013,Domestic material consumption,TONNES,Non-ferrous ores,904645.0
2014,Domestic material consumption,TONNES,Non-ferrous ores,771812.0
2015,Domestic material consumption,TONNES,Non-ferrous ores,812117.0
2016,Domestic material consumption,TONNES,Non-ferrous ores,852422.0
2017,Domestic material consumption,TONNES,Non-ferrous ores,892727.0
2000,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,712400.0
2001,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,953712.0
2002,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,868329.0
2003,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,474027.0
2004,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,673221.0
2005,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,989939.0
2006,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1687683.0
2007,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,2301692.0
2008,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,2349561.0
2009,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1954762.0
2010,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1511972.0
2011,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1875354.0
2012,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1860735.0
2013,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1613745.0
2014,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1802499.0
2015,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1898417.0
2016,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,1994336.0
2017,Domestic material consumption,TONNES,Non-metallic minerals - industrial or agricultural dominant,2090255.0
2000,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,6413484.0
2001,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,7063890.0
2002,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,8490140.0
2003,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,14417888.0
2004,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,12485677.0
2005,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,9624076.0
2006,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,11916651.0
2007,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,13198376.0
2008,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,14147934.0
2009,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,13570620.0
2010,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,14084845.0
2011,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,13232058.0
2012,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,13938610.0
2013,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,15504799.0
2014,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,16718248.0
2015,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,17747401.0
2016,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,18776554.0
2017,Domestic material consumption,TONNES,Non-metallic minerals - construction dominant,19805706.0
2000,Domestic material consumption,TONNES,Non-metallic minerals,7125884.0
2001,Domestic material consumption,TONNES,Non-metallic minerals,8017602.0
2002,Domestic material consumption,TONNES,Non-metallic minerals,9358469.0
2003,Domestic material consumption,TONNES,Non-metallic minerals,14891914.0
2004,Domestic material consumption,TONNES,Non-metallic minerals,13158898.0
2005,Domestic material consumption,TONNES,Non-metallic minerals,10614015.0
2006,Domestic material consumption,TONNES,Non-metallic minerals,13604334.0
2007,Domestic material consumption,TONNES,Non-metallic minerals,15500068.0
2008,Domestic material consumption,TONNES,Non-metallic minerals,16497494.0
2009,Domestic material consumption,TONNES,Non-metallic minerals,15525382.0
2010,Domestic material consumption,TONNES,Non-metallic minerals,15596817.0
2011,Domestic material consumption,TONNES,Non-metallic minerals,15107412.0
2012,Domestic material consumption,TONNES,Non-metallic minerals,15799345.0
2013,Domestic material consumption,TONNES,Non-metallic minerals,17118544.0
2014,Domestic material consumption,TONNES,Non-metallic minerals,18520747.0
2015,Domestic material consumption,TONNES,Non-metallic minerals,19645818.0
2016,Domestic material consumption,TONNES,Non-metallic minerals,20770890.0
2017,Domestic material consumption,TONNES,Non-metallic minerals,21895961.0
2000,Domestic material consumption,TONNES,Petroleum,1148000.0
2001,Domestic material consumption,TONNES,Petroleum,1123000.0
2002,Domestic material consumption,TONNES,Petroleum,1087000.0
2003,Domestic material consumption,TONNES,Petroleum,1011000.0
2004,Domestic material consumption,TONNES,Petroleum,1187000.0
2005,Domestic material consumption,TONNES,Petroleum,1120000.0
2006,Domestic material consumption,TONNES,Petroleum,1201000.0
2007,Domestic material consumption,TONNES,Petroleum,1278000.0
2008,Domestic material consumption,TONNES,Petroleum,1471000.0
2009,Domestic material consumption,TONNES,Petroleum,1637000.0
2010,Domestic material consumption,TONNES,Petroleum,1670000.0
2011,Domestic material consumption,TONNES,Petroleum,1714000.0
2012,Domestic material consumption,TONNES,Petroleum,1533000.0
2013,Domestic material consumption,TONNES,Petroleum,1489000.0
2014,Domestic material consumption,TONNES,Petroleum,1385000.0
2015,Domestic material consumption,TONNES,Petroleum,1426607.0
2016,Domestic material consumption,TONNES,Petroleum,1468214.0
2017,Domestic material consumption,TONNES,Petroleum,1509821.0
2000,Domestic material consumption,TONNES,Wild catch and harvest,8465.0
2001,Domestic material consumption,TONNES,Wild catch and harvest,8679.0
2002,Domestic material consumption,TONNES,Wild catch and harvest,11182.0
2003,Domestic material consumption,TONNES,Wild catch and harvest,11748.0
2004,Domestic material consumption,TONNES,Wild catch and harvest,13649.0
2005,Domestic material consumption,TONNES,Wild catch and harvest,15432.0
2006,Domestic material consumption,TONNES,Wild catch and harvest,11180.0
2007,Domestic material consumption,TONNES,Wild catch and harvest,11029.0
2008,Domestic material consumption,TONNES,Wild catch and harvest,10938.0
2009,Domestic material consumption,TONNES,Wild catch and harvest,10162.0
2010,Domestic material consumption,TONNES,Wild catch and harvest,9106.0
2011,Domestic material consumption,TONNES,Wild catch and harvest,8310.0
2012,Domestic material consumption,TONNES,Wild catch and harvest,8391.0
2013,Domestic material consumption,TONNES,Wild catch and harvest,8855.0
2014,Domestic material consumption,TONNES,Wild catch and harvest,8855.0
2015,Domestic material consumption,TONNES,Wild catch and harvest,8682.0
2016,Domestic material consumption,TONNES,Wild catch and harvest,8510.0
2017,Domestic material consumption,TONNES,Wild catch and harvest,8337.0
2000,Domestic material consumption,TONNES,Wood,2478757.0
2001,Domestic material consumption,TONNES,Wood,2185477.0
2002,Domestic material consumption,TONNES,Wood,2454677.0
2003,Domestic material consumption,TONNES,Wood,2390059.0
2004,Domestic material consumption,TONNES,Wood,1830655.0
2005,Domestic material consumption,TONNES,Wood,1925044.0
2006,Domestic material consumption,TONNES,Wood,2120334.0
2007,Domestic material consumption,TONNES,Wood,1853219.0
2008,Domestic material consumption,TONNES,Wood,2035444.0
2009,Domestic material consumption,TONNES,Wood,1716285.0
2010,Domestic material consumption,TONNES,Wood,1926305.0
2011,Domestic material consumption,TONNES,Wood,2013618.0
2012,Domestic material consumption,TONNES,Wood,2088522.0
2013,Domestic material consumption,TONNES,Wood,2221379.0
2014,Domestic material consumption,TONNES,Wood,2132902.0
2015,Domestic material consumption,TONNES,Wood,1994345.0
2016,Domestic material consumption,TONNES,Wood,1982417.0
2017,Domestic material consumption,TONNES,Wood,1970489.0
